love,eat,mom,beautiful,kids,husband,lunch,cute,school,excited,forget,device,political,miss,enjoying,doctors,perfectly,flew,fabric,fruit,menu,fan,realise,fire,reads,meal,grass,vintage,happier,Gender
0.317251,0.540016,0.150514,0,0.123981,0.451542,0.155452,0,0.922689,0.146376,0,0,0.178859,0.148056,0,0,0,0.216207,0,0,0,0,0,0,0.22082,0,0,0,0.212007,F
3.882181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
1.790708,0,0,0,0,3.398281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0.495851,1.37892,0,0.768781,0.775109,0.470496,0,0,0,0,0.453493,0,0,0.462813,0,0,0,0,0,0,0,0,0,0,0,0.578958,0,0,0,F
0,5.622692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
1.980559,3.671842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0,0,0,0,0,5.691494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0,0,0,0,5.872684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
1.351691,0,0,0,0,0,0,0,0,0,0,0,0,0,2.071031,0,0,0,1.228239,0,0,0,0,0,0,0,0,1.254446,0,F
0,0,0,0,0,0,6.006272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0,6.059846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
6.159904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0,6.343067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
